config_name	sample	status	output_dir	eval_dir	git_commit	git_dirty_count	binary_hash	backend	bin_size_bp	resolution_label	refinement_stage	refinement_stage_index	refinement_n_stages	parent_bin_size_bp	refinement_init_source	n_raw	n_raw_cis	n_raw_trans	n_bpair	n_bpair_cis	n_bpair_trans	init_mode	init_seed	init_eps	init_noise_scale	init_scale	init_eps_effective	init_noise_scale_effective	init_scale_effective	prior_mode	trans_chr_pair_prior_mode	trans_chr_pair_prior_lambda	trans_chr_pair_prior_eps	trans_chr_pair_prior_power	trans_chr_pair_prior_warmup_iter	trans_chr_pair_mstep_mode	trans_chr_pair_mstep_lambda	trans_chr_pair_mstep_eps	trans_chr_pair_mstep_power	trans_chr_pair_mstep_warmup_iter	trans_chr_pair_mstep_application_point	rho_train_mode	rho_train	rho_train_floor	rho_train_start	rho_train_end	temperature_start	temperature_end	min_sep_unit	lambda_sep	lambda_copytrack	lambda_global_copytrack	lambda_normdir_copytrack	normdir_copytrack_eps_unit	normdir_copytrack_prior_mode	global_copytrack_prior_mode	global_copytrack_weight_mode	d_scale_mode	d_scale_mode_input_string	d_scale_eps_count	d_scale_posterior_gamma	dscale_effective_count_formula	edge_k_probability_weighted	dscale_probability_weighted	legacy_expected_count_alias_used	trans_contact_scaling_mode	trans_k_multiplier	trans_dscale_multiplier	trans_top1_mstep_mode	trans_top1_mstep_min_pmax	trans_top1_mstep_min_margin	trans_top1_mstep_mix_weight	trans_gate_mode	trans_gate_min_pmax	trans_gate_min_margin	trans_gate_min_neg_entropy	trans_gate_scope	trans_gate_source	trans_gate_confidence_unit	trans_gate_neg_entropy_formula	trans_gate_active_criteria	input_contact_source	readgroup_mode	readgroup_max_segments	readgroup_eps	readgroup_entries	readgroup_groups	readgroup_groups_used	readgroup_raw_decoded	readgroup_groups_skipped_too_large	readgroup_groups_skipped_bad	readgroup_uses_phase_labels	readgroup_uses_charm_or_reference	uses_phase_labels	uses_charm_or_reference	final_mean_sep	final_min_sep	final_max_sep	sep_p05	sep_median	final_mean_entropy	final_mean_pU	final_n_softall_gate_skip_raw	final_contact_energy	final_repulsion_energy	final_backbone_energy	heldout_enabled	heldout_fraction	heldout_seed	heldout_n_input_raw_total	heldout_n_raw_train	heldout_n_raw_heldout	heldout_n_bpair_heldout	heldout_n_bpair_eval	heldout_n_raw_eval	heldout_n_bpair_same_bin_skipped	heldout_n_raw_same_bin_skipped	heldout_mean_expected_energy	heldout_mean_min_energy	heldout_mean_entropy	heldout_mean_pU	heldout_mean_best_normalized_distance	heldout_short_distance_frac	final_sep_energy	final_sep_force_l1	final_copytrack_energy	final_copytrack_force_l1	final_global_copytrack_energy	final_global_copytrack_force_l1	final_normdir_copytrack_energy	final_normdir_copytrack_force_l1	force_diag_total_contact_force_l1	sep_force_l1_over_contact_force_l1	copytrack_force_l1_over_contact_force_l1	global_copytrack_force_l1_over_contact_force_l1	normdir_copytrack_force_l1_over_contact_force_l1	model_top1_accuracy_genome_all	model_top1_accuracy_genome_cis	model_top1_accuracy_genome_trans	model_same_cross_accuracy_genome_all	model_same_cross_accuracy_genome_cis	model_same_cross_accuracy_genome_trans	mean_per_chrom_cis_distance_spearman	copytrack_sep_p05	copytrack_sep_median	copytrack_vector_cos_p05	copytrack_vector_cos_median	copytrack_frac_cos_lt_0	copytrack_frac_projection_sign_switch
p9016_heldout_best035_seed17_noise0	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_best035_seed17_noise0/p9016_heldout_best035_seed17_noise0	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_best035_seed17_noise0	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	17	0.5	0	10	0.5	0	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.51966143	0.315417588	10.8518047	2.33239985	4.53200102	0.671137571	0.484123409	0	53644.3711	16469.9277	241.620087	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.58999189845420186	0.39521764730307574	0.66325748308069032	0.4784391394336735	1.4312075662147348	0.6490946342543884	0	0	75.8206635	777.03418	125.439621	179.724701	0	0	108709.219	0	0.0071478223	0.0016532609	0	0.457128	0.546646	0.321963	0.778483	0.933617	0.544247	0.693877	2.33239987	4.53200079	0.916341359	0.992236254	0.0045924225	0.0114810563
p9016_heldout_best035_seed17_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_best035_seed17_noise0p05/p9016_heldout_best035_seed17_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_best035_seed17_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	17	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.53850269	0.390168756	10.4231052	2.34140182	4.58487892	0.660164595	0.476208091	0	54679.6367	16651.6309	225.875168	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.56682710780915713	0.37542093947224886	0.65788766041965463	0.47456563125478946	1.411608416085578	0.65282842745603697	0	0	73.4776764	765.517151	123.394112	180.497314	0	0	109930.203	0	0.0069636654	0.0016419265	0	0.450322	0.544229	0.308533	0.774944	0.937043	0.530191	0.689667	2.3414018	4.58487922	0.915072526	0.992636388	0.00420972063	0.0149253731
p9016_heldout_best035_seed23_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_best035_seed23_noise0p05/p9016_heldout_best035_seed23_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_best035_seed23_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	23	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.57768345	0.355017394	10.7086248	2.61536121	4.54367208	0.661873639	0.477440923	0	54243.6211	16420.0781	207.511383	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.57748061224455427	0.38408783825549853	0.65421077934126703	0.47191332218974474	1.4178748022863259	0.65279678514076878	0	0	70.577652	746.798645	127.179199	184.478333	0	0	109612.703	0	0.00681306659	0.0016830014	0	0.455052	0.547913	0.31484	0.780369	0.952723	0.520131	0.738765	2.61536109	4.54367197	0.935568555	0.993023132	0.00382701875	0.01224646
p9016_heldout_best035_seed31_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_best035_seed31_noise0p05/p9016_heldout_best035_seed31_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_best035_seed31_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	31	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.41759586	0.517535269	10.8605051	2.2382021	4.39600849	0.678898871	0.489722013	0	53210.3672	16078.4521	265.151001	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.59526042929892342	0.39562139653042061	0.66927190809234183	0.48277763002963447	1.4232798215781959	0.65385680270225377	0	0	77.8920135	781.344788	116.943619	175.85051	0	0	107149.07	0	0.00729212851	0.00164117626	0	0.473447	0.561044	0.341186	0.782527	0.94299	0.540244	0.693584	2.23820205	4.3960084	0.918328315	0.991829893	0.0045924225	0.0133945656
p9016_heldout_best035_seed47_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_best035_seed47_noise0p05/p9016_heldout_best035_seed47_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_best035_seed47_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	47	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.55851173	0.590371966	9.71502781	2.60854506	4.51351213	0.65909791	0.475438625	0	54173.2969	16632.4414	348.776703	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.58076698583858744	0.38735757298348006	0.65042982818394557	0.46918594242806694	1.4196194232745629	0.65294708613829278	0	0	81.1981964	778.728149	127.927292	170.247803	0	0	108934.844	0	0.00714856808	0.00156284066	0	0.453204	0.543059	0.317533	0.776973	0.94279	0.526607	0.708303	2.60854498	4.51351236	0.9157436	0.992546727	0.00382701875	0.00995024876
p9016_heldout_best035_seed59_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_best035_seed59_noise0p05/p9016_heldout_best035_seed59_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_best035_seed59_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	59	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.16595459	0.650202751	9.23890209	2.26173711	4.1551652	0.685909152	0.494778872	0	54607.7656	16412.8477	219.091492	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.60714163939309262	0.3998521277094586	0.6733167905937083	0.48569539597216022	1.4290895623431292	0.65207692246841698	0	0	72.1168365	767.136902	106.275909	169.864853	0	0	109471.25	0	0.00700765637	0.0015516846	0	0.461499	0.558075	0.315679	0.774411	0.93951	0.525128	0.713955	2.26173699	4.15516493	0.916622188	0.991110166	0.00535782625	0.0126291619
p9016_heldout_best035_seed71_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_best035_seed71_noise0p05/p9016_heldout_best035_seed71_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_best035_seed71_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	71	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.28788948	0.465201378	11.1718683	2.11841083	4.23554754	0.669095397	0.48265031	0	55748.293	16928.3965	246.269226	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.60597141395149701	0.40118340863057383	0.67156176098419584	0.48442940981469779	1.4335525009996866	0.65269394761614707	0	0	79.1261139	783.728943	87.6981506	151.21843	0	0	109972.984	0	0.00712655886	0.00137505071	0	0.436175	0.524962	0.302116	0.747368	0.90585	0.508077	0.633453	2.11841086	4.23554709	0.895734499	0.9915893	0.00880214313	0.0191350938
p9016_heldout_best035_seed83_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_best035_seed83_noise0p05/p9016_heldout_best035_seed83_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_best035_seed83_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	83	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.14702129	0.245908692	11.3656101	1.8441211	4.20088387	0.694328547	0.500852168	0	54364.1055	16570.4668	242.804062	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.61696741834192181	0.41065651034656403	0.69102311482575574	0.49846780905980032	1.4382966389765552	0.65410994122439936	0	0	75.5092239	769.50238	105.33329	162.495682	0	0	109358.062	0	0.00703654002	0.00148590492	0	0.441723	0.528203	0.311145	0.75817	0.916105	0.519704	0.601046	1.84412114	4.20088418	0.884124348	0.991085715	0.00918484501	0.0225794106
p9016_heldout_best035_seed97_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_best035_seed97_noise0p05/p9016_heldout_best035_seed97_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_best035_seed97_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	97	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	off	0	0.00100000005	1	0	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0.0299999993	0.00300000003	0	0.0500000007	off	chromosome_mean_homolog_vector_alignment	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.44595718	0.723385513	10.2492676	2.39567804	4.30840492	0.694950283	0.501300633	0	51427.3398	15841.873	320.503174	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.61959068100484782	0.41562842117094534	0.67449606380039384	0.48654606194535877	1.4384939115236841	0.65558130888437105	0	0	81.2108994	775.155029	122.368843	172.485535	0	0	106393.383	0	0.00728574473	0.00162120547	0	0.477687	0.572064	0.335188	0.772804	0.931409	0.533326	0.718532	2.39567809	4.30840478	0.908290715	0.992460905	0.00650593188	0.0160734788
p9016_heldout_chrpair_m0p5_p4_w10_seed17_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_chrpair_m0p5_p4_w10_seed17_noise0p05/p9016_heldout_chrpair_m0p5_p4_w10_seed17_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_chrpair_m0p5_p4_w10_seed17_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	17	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.5	0.00100000005	4	10	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	0	0.0500000007	off	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.87264109	1.00328338	12.6804495	3.24738002	4.79332256	0.597333968	0.430885375	0	62072.1172	18868.6758	84.6892929	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.49374818259914743	0.3183329937953927	0.60716433860653651	0.43797648884637452	1.3567378297393935	0.66333367612508209	0	0	0	0	0	0	0	0	122040.109	0	0	0	0	0.472286	0.577786	0.312993	0.791728	0.971478	0.520322	0.774067	3.24738016	4.7933224	0.953871024	0.992590221	0	0.00114810563
p9016_heldout_chrpair_m0p5_p4_w10_seed23_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_chrpair_m0p5_p4_w10_seed23_noise0p05/p9016_heldout_chrpair_m0p5_p4_w10_seed23_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_chrpair_m0p5_p4_w10_seed23_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	23	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.5	0.00100000005	4	10	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	0	0.0500000007	off	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.90519953	1.70042837	12.795145	2.91190004	4.80213928	0.613536239	0.442572862	0	60326.707	18198.6953	113.248665	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.5097347072188273	0.33330107484560856	0.62494118390202236	0.45079977216979195	1.3703185009309853	0.6627245615561691	0	0	0	0	0	0	0	0	120532.312	0	0	0	0	0.470084	0.56757	0.322891	0.797331	0.970625	0.535674	0.795929	2.91190007	4.80213931	0.950873471	0.992949242	0.00076540375	0.0015308075
p9016_heldout_chrpair_m0p5_p4_w10_seed31_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_chrpair_m0p5_p4_w10_seed31_noise0p05/p9016_heldout_chrpair_m0p5_p4_w10_seed31_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_chrpair_m0p5_p4_w10_seed31_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	31	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.5	0.00100000005	4	10	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	0	0.0500000007	off	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.73410511	1.28626764	11.2295704	3.21430326	4.68293333	0.610025346	0.44004029	0	60321.6172	18231.8457	156.882751	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.50425303332815574	0.32553058640221599	0.61766831841010428	0.44555350865795923	1.3588744021733372	0.6636026358048619	0	0	0	0	0	0	0	0	120716.023	0	0	0	0	0.486164	0.589605	0.329978	0.800307	0.973383	0.538978	0.757152	3.2143034	4.68293337	0.949331854	0.992712123	0.00076540375	0.00612323
p9016_heldout_chrpair_m0p5_p4_w10_seed47_noise0p05	P9016	OK	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/outputs/p9016_heldout_chrpair_m0p5_p4_w10_seed47_noise0p05/p9016_heldout_chrpair_m0p5_p4_w10_seed47_noise0p05	/mnt/ssd/zliu/phase3/test_res/045-20260620_055343-p9016_raw_heldout_selection_1m/eval/p9016_heldout_chrpair_m0p5_p4_w10_seed47_noise0p05	1037ee5f79d54e943eef5c37e5aeb2d841698cb8	104	2e70b2949338ab17e5550d3a8475ef55034169b53d0ee52bcb56b2f1de8a1e92	gpu	1000000	1Mb	1m	1	1	0	unphased_scaffold_split	1533419	1021861	511558	453390	83122	370268	unphased_scaffold_split	47	0.5	0.0500000007	10	0.5	0.0500000007	0	uniform	off	0	0.00100000005	1	0	blind_posterior_chrom_pair_mstep	0.5	0.00100000005	4	10	post_estep_pre_softall_mstep	constant	1	0	1	1	1	1	0	0	0	0	0	0.0500000007	off	off	bead_weighted_chrom_mean	posterior_count	posterior_count	9.99999997e-07	1	n_raw*posterior_prob^1	1	1	0	trans_edge_scaling	1	0.5	off	1	1	0	off	1	1	-1.38629436	trans_raw_contacts_by_bpair_posterior	blind_current_posterior_confidence	binned_bpair_current_posterior	-bpair_entropy	none	raw_pairs	off	8	9.99999997e-07	0	0	0	0	0	0	0	0	0	0	4.92023945	1.42101502	12.0326433	2.85796452	4.87218904	0.643758833	0.464373827	0	59228.375	18077.0527	145.277206	1	0.100000001	17	1703888	1533419	170469	83963	81420	126413	2543	44056	0.5390414457424364	0.35759692427485817	0.64324284056303105	0.46400162683034535	1.3902472370513597	0.66003496475837142	0	0	0	0	0	0	0	0	117861.625	0	0	0	0	0.470621	0.560946	0.334239	0.802075	0.969094	0.549891	0.799091	2.85796444	4.87218874	0.951115158	0.993367878	0	0.00497512438
