config_name	policy	scope	flip_source	objective_score	n_eval_contacts	top1_correct_contacts	top1_accuracy	same_cross_correct_contacts	same_cross_accuracy	pmax_threshold	n_called_contacts	called_contact_fraction	pmax_threshold_accuracy	pmax_threshold_recall	delta_top1_vs_cis_selected	target_plus_0p1_met	uses_snp_for_base_gauge	uses_snp_for_global_gauge_selection	uses_snp_labeled_denominator_for_selection_weight	uses_charm_for_denominator_filter	decoder_selection_denominator	decoder_selection_n_edges	decoder_selection_total_weight	eval_only_uses_snp_for_selection	eval_only_uses_snp_for_scoring	eval_only_uses_charm_shared_denominator
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	cis_selected_whole_chrom	genome_trans	cis_snp_truth_whole_chrom	0	143977	48332	0.335692506	77340	0.537169131	0.9	67059	0.465761893	0.38513846	0.179382818	0	0	1	0	0	1	none_cis_snp_gauge_only	0	0	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	global_chrom_snp_oracle	genome_trans	snp_truth_global_chrom_oracle	49987	143977	49987	0.347187398	81303	0.564694361	0.9	67059	0.465761893	0.404181393	0.18825229	0.0114948915	0	1	1	1	1	snp_truth_eval_contacts	190	143977	1	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	raw_global_geom_nearest_to_posterior_top	genome_trans	blind_raw_posterior_reconstruction_global_gauge	567507	143977	48332	0.335692506	77340	0.537169131	0.9	67059	0.465761893	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	raw_global_geom_nearest_gap_weighted	genome_trans	blind_raw_posterior_reconstruction_global_gauge	979089.431	143977	48332	0.335692506	77340	0.537169131	0.9	67059	0.465761893	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	raw_global_margin_geom_gap_weighted	genome_trans	blind_raw_posterior_reconstruction_global_gauge	822081.357	143977	48332	0.335692506	77340	0.537169131	0.9	67059	0.465761893	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	raw_global_pmax_geom_gap_weighted	genome_trans	blind_raw_posterior_reconstruction_global_gauge	889299.941	143977	48332	0.335692506	77340	0.537169131	0.9	67059	0.465761893	0.38513846	0.179382818	0	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	raw_global_same_cross_distance_sum	genome_trans	blind_raw_posterior_reconstruction_global_gauge	1270154.83	143977	38006	0.263972718	73765	0.512338776	0.9	67059	0.465761893	0.279127336	0.130006876	-0.0717197886	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	raw_global_posterior_same_cross_mass	genome_trans	blind_raw_posterior_reconstruction_global_gauge	345115.668	143977	31932	0.221785424	66916	0.464768678	0.9	67059	0.465761893	0.202821396	0.0944664773	-0.113907082	0	1	0	0	1	raw_posterior_trans_bpair	190	568434	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	raw_global_chrom_center_same_closer	genome_trans	blind_raw_posterior_reconstruction_global_gauge	384.140442	143977	38006	0.263972718	73765	0.512338776	0.9	67059	0.465761893	0.279127336	0.130006876	-0.0717197886	0	1	0	0	1	raw_reconstruction_chrom_centers	190	NA	0	1	1
p9016_pcgamma1_td0p5_mstep1_p1_w0_sep0	raw_global_homolog_vector_dot	genome_trans	blind_raw_posterior_reconstruction_global_gauge	2087.80072	143977	38006	0.263972718	73765	0.512338776	0.9	67059	0.465761893	0.279127336	0.130006876	-0.0717197886	0	1	0	0	1	raw_reconstruction_chrom_centers	190	NA	0	1	1
